Bloco ;Bairro;Região;Data;Data Relativa;Concentração;Desfile;Final;Local da Concentraçao;Percurso;Público Estimado;Ano do primeiro desfile;
Xodó da Piedade;Piedade;Zona Norte 2;07/01/2018;Domingo - 5 semanas antes do Carnaval;16:00:00;18:00:00;22:00:00;Rua Mario Carpenter, Esquina com Angelina ;PARADO;1.500;1972;
Bloco do Limão;Jardim América;Zona Norte 2;13/01/2018;Sábado - 4 semanas antes do Carnaval;16:00:00;18:00:00;22:00:00;Praça Rivadávia C Maia;Parado;800;2010;
Seu Kuka é Eu do Grajaú;Grajaú;Tijuca e Adj;13/01/2018;Sábado – 4 semanas antes do Carnaval;16:00:00;16:00:00;22:00:00;Largo Maria Martha Ward;Parado;1.200;2008;
Unidos do Rego Barros;Santo Cristo;Centro;13/01/2018;Terça de Carnaval;16:00:00;17:00:00;21:00:00;Rua Rego Barros;Rua Rego Barros até o fim da rua Nabuco de Freitas, e termina na Rua Rego Barros;400;2012;
Vou Treinar e Volto Já;Tijuca ;Tijuca e Adj;13/01/2018;Sábado - 4 semanas antes do Carnaval;15:00:00;17:00:00;19:00:00;Rua Martins Pena;Rua Martins Pena, Rua Afonso Pena, Rua Haddock Lobo, Rua Campos Sales, Rua Martins Pena;500;2010;
Banda da Zulmira;Maracanã ;Tijuca e Adj;14/01/2018;Domingo - 4 semanas antes do Carnaval;14:00:00;14:00:00;20:00:00;Praça Niterói - Rua Dona Zulmira e Rua Felipe Camarão;Parado  ;400;2014;
Xodó da Piedade;Piedade;Zona Norte 2;14/01/2018;Domingo - 4 semanas antes do Carnaval;16:00:00;17:00:00;22:00:00;Rua Mario Carpenter, Esquina com Angelina ;PARADO;1.500;1972;
Banda de Ipanema - Ensaio;Ipanema ;Zona Sul;20/01/2018;Sábado - 3 semanas antes do Carnaval;15:00:00;17:30:00;21:00:00;Praca General Osório;Praça General Osório - Parado;5.000;1965;
Bloco Carnavalesco Sempre Vila;Vila isabel ;Tijuca e Adj;20/01/2018;Sábado – 3 semana antes do Carnaval;14:00:00;16:00:00;20:00:00;Rua Sousa Franco;Início na Rua Sousa Franco com a esquina Torres Homem, Término na Rua Sousa Franco com 28 de Setembro ;1.000;2018;
Bloco do Limão;Jardim América;Zona Norte 2;20/01/2018;Sábado - 3 semanas antes do Carnaval;16:00:00;18:00:00;22:00:00;Praça Rivadávia C Maia;Parado;800;2010;
Chame Gente ;São Conrado ;Zona Sul;20/01/2018;Domingo - 2 semanas antes do Carnaval;08:00:00;10:00:00;14:00:00;Av. Prefeito Mendes de Moraes, esquina com Rua Herbert Moses;Av. Prefeito Mendes de Moraes, da Rua Herbert Moses até o Hotel Golden Tulip;20.000;2007;
É Pequeno mas não amolece;Recreio dos Bandeirantes;Barra/JPA;20/01/2018;Sábado - 3 semanas antes do Carnaval;14:00:00;16:00:00;20:00:00;Praça Professor Henrique Niremberg;Parado;500;2009;
Larga a Onça, Alfredo! - Ensaio;Laranjeiras ;Zona Sul;20/01/2018;Sábado - 3 semanas antes do Carnaval;15:00:00;18:00:00;20:00:00;Praça São Salvador;Parado;2.000;2008;
"Os ""20"" de Ouro do Mestre Odilon";Ilha do Governador;Zona Norte 3;20/01/2018;Sábado - 3 semanas antes do Carnaval;16:00:00;16:00:00;20:00:00;Estrada do Rio Jequiá (Posto Necker Pinto);Segue pela Estrada Rio Jequiá, Rua Maldonado, e Pça Iaiá Garcia;1.500;2017;
Põe na Quentinha?;Centro;Centro;20/01/2018;Sábado – 13semanas antes do Carnaval;13:00:00;14:00:00;19:00:00;Rua Conselheiro Saraiva, em frente ao nº 39;Parado  ;1.500;2015;
Seu Kuka é Eu do Grajaú;Grajaú;Tijuca e Adj;20/01/2018;Sábado – 3 semanas antes do Carnaval;16:00:00;16:00:00;22:00:00;Largo Maria Martha Ward;Parado;1.200;2008;
TPM - Turma da Paz de Madureira;Madureira;Zona Norte 1;20/01/2018;Sábado - 2 semanas antes do Carnaval;13:30:00;17:30:00;19:00:00;Em frente ao Império Serrano;Segue a Estrada do Portela até antes do Shopping Madureira.;500;2013;
Banda do Jiló;Tijuca ;Tijuca e Adj;21/01/2018;Domingo - 3 semanas antes do Carnaval;14:00:00;14:00:00;20:00:00;Rua Pinto de Figueiredo, nº 26;Parado;1.000;2004;
Divas do Recreio;Recreio dos Bandeirantes;Barra/JPA;21/01/2018;Domingo - 2 semanas antes do Carnaval;15:00:00;16:30:00;21:00:00;Quiosque 10 e Meio ;Parado;3.000;2014;
Só Caminha;Botafogo ;Zona Sul;21/01/2018;Domingo - 3 semanas antes do Carnaval;12:00:00;14:00:00;18:00:00;Largo dos Leões;Largo dos Leões, Rua Marques, Rua Capistrano de Abreu, Rua Conde de Irajá e Largo dos Leões;2.000;2010;
Xodó da Piedade;Piedade;Zona Norte 2;21/01/2018;Domingo - 3 semanas antes do Carnaval;16:00:00;17:00:00;22:00:00;Rua Mario Carpenter, Esquina com Angelina ;PARADO;1.500;1972;
O Fervo;Estácio;Centro;23/01/2018;Terça-feira - 2 semanas antes do Carnaval;14:00:00;18:00:00;20:00:00;Rua Maia de Lacerda;Rua Maia de Lacerda, da esquina da Rua Estácio de Sá até a Rua Sampaio Ferraz e termina na rua Quintino do Vale;500;2016;
Discípulos do Oswaldo;Manguinhos;Zona Norte 2;24/01/2018;Quarta-feira 2 semanas antes do Carnaval;17:00:00;20:00:00;22:00:00;Rua Rosa da Fonseca;Rua Rosa da Fonseca Rua Castro Tavares, Rua Sizenando Nabuco e Rua Rosa da Fonseca;1.000;2002;
Vestiu uma Camisinha Listrada e Saiu por Aí;Centro;Centro;26/01/2018;Sexta-feira - 2 semanas antes do Carnaval;16:00:00;19:00:00;22:00:00;Buraco do Lume;Parado ;2.000;1992;
Amigos da Esquina;Engenho de Dentro;Zona Norte 2;27/01/2018;Sábado - 2 semanas antes do Carnaval;15:00:00;15:00:00;21:00:00;Rua 2 de Fevereiro 192;Parado;1.000;2004;
Areia;Leblon ;Zona Sul;27/01/2018;Sábado - 2 semana antes do Carnaval;09:00:00;11:00:00;15:00:00;Rua Dias Ferreira, entre a Avenida Bartolomeu Mitre e a Rua General Urquiza;Parado;3.500;2003;
Banda de Ipanema;Ipanema ;Zona Sul;27/01/2018;Sábado - 2 semanas antes do Carnaval;15:00:00;17:30:00;21:00:00;Rua Jangadeiros, esquina com Gomes Carneiro;Rua Gomes Carneiro, Avenida Vieira Souto, Rua Joana Angélica e Rua Visconde de Pirajá, até a Praça General Osório;50.000;1965;
Bloco Carnavalesco Bunda Rachada ;Ramos;Zona Norte 3;27/01/2018;sábado - 2 semanas antes do carnaval;16:00:00;18:00:00;20:00:00;Rua romero zander , N. 363;rua romero zander n. 363, Av. dos campeoes n.569;2000;2001;
Bloco do Cocoloko;Barra da Tijuca;Barra/JPA;27/01/2018;Sexta-feira de Carnaval;10:00:00;10:00:00;16:00:00;Lúcio Costa (Em frente ao Ocean Front 2.930);Parado;15.000;2016;
Bloco do Limão;Jardim América;Zona Norte 2;27/01/2018;Sábado - 2 semana antes do Carnaval;16:00:00;18:00:00;22:00:00;Praça Rivadávia C Maia;Parado;800;2010;
Cacique de Higienópolis;Higienópolis;Zona Norte 2;27/01/2018;Sábado - 2 semanas antes do Carnaval;16:00:00;17:00:00;22:00:00;Rua Tamiarana, esquina com Rua Darke de Mattos;Parado;500;2012;
Cadê Meu Beijo?;Ilha do Governador;Zona Norte 3;27/01/2018;Sábado - 2 semanas antes do Carnaval;15:00:00;16:00:00;21:00:00;Rua Luis Sá – 205;Parado;2.000;2014;
Calma Amor;Irajá;Zona Norte 1;27/01/2018;Sábado - 2 semanas antes do Carnaval;16:00:00;16:00:00;22:00:00;Praça Ferreira Souto;Parado;5.000;2010;
Carmelitas (ENSAIO);Centro;Centro;27/01/2018;Sabado - 2 semanas antes do Carnaval;16:00:00;16:00:00;22:00:00;Praça Tiradentes;PARADO;800;1990;
Cordão do Prata Preta;Gamboa;Centro;27/01/2018;Sábado - 2 semanas antes do Carnaval;17:00:00;17:00:00;22:00:00;Praça Coronel Assumpção (Praça da Harmonia);Parado;800;2005;
Deixa a Língua no Varal;Tijuca ;Tijuca e Adj;27/01/2018;Sábado - 2 semanas antes do Carnaval;16:00:00;18:00:00;22:00:00;Rua Barão de Mesquita, 136;Rua Barão de Mesquita, Rua Deputado Soares Filho, Praça Hilda, Rua Pareto, Rua Almirante Cochrane, Rua Santo Afonso, Rua Pinto de Figueiredo, Av. Maracanã e Rua Barão de Mesquita 136;500;2008;
Desliga da Justiça;Gávea ;Zona Sul;27/01/2018;Sábado - 2 semanas antes do Carnaval;08:00:00;10:00:00;14:00:00;Praça Santos Dumont;Parado;5.000;2010;
É Pequeno mas não amolece;Recreio dos Bandeirantes;Barra/JPA;27/01/2018;Sábado - 1 semana antes do Carnaval;14:00:00;16:00:00;20:00:00;Praça Professor Henrique Niremberg;Parado;500;2009;
GB Bloco;Laranjeiras ;Zona Sul;27/01/2018;Sábado - 2 semanas antes do Carnaval;13:00:00;15:00:00;19:00:00;Praça Jardim Laranjeiras - Rua General Glicério;Rua General Glicério, Rua General Cristóvão Barcelos, retornando à Praça Jardim Laranjeiras;5.000;2007;
Imprensa Que Eu Gamo;Laranjeiras ;Zona Sul;27/01/2018;Sábado - 2 semanas antes do Carnaval;13:00:00;15:00:00;19:00:00;Rua Gago Coutinho, em frente ao Mercadinho São José;Rua Gago Coutinho, Largo do Machado, Rua das Laranjeiras e Rua Gago Coutinho;15.000;1996;
Liga de Blocos e Bandas da Zona Portuária;Saúde;Centro;27/01/2018;Sábado - 2 semanas antes do Carnaval;10:00:00;12:00:00;16:00:00;Praça Coronel Assunção (Praça da Harmonia);Rua Sacadura Cabral, da Praça da Harmonia até o Largo São Francisco da Prainha;1.500;2008;
Nem Muda Nem Sai de Cima;Tijuca ;Tijuca e Adj;27/01/2018;Sábado - 2 semanas antes do Carnaval;16:00:00;19:00:00;22:00:00;Rua Garibaldi, esquina com Avenida Maracanã;Rua Garibaldi, Rua Pinto Guedes, Praça Xavier de Brito, Rua Otávio Kelly, Rua Conde de Bonfim e Rua Garibaldi, voltando ao local de concentração;1.000;1995;
Panela Preta de Curicica;Curicica;Barra/JPA;27/01/2018;Sábado - 2 semanas antes do Carnaval;14:00:00;16:00:00;20:00:00;Rua João Bruno Lobo, nº 38;Rua João Bruno Lobo, nº 38 - Parado;1.000;2011;
